,bltasid,residentialsf,bsmntsf,bsmntfinsf,garagesf,grossacres,yrblt,salep,SubDivisionCode
2103,8,1344,0,0,443,0.24,1979,325600,-1
2104,19,938,0,0,0,0.0,1979,220000,-1
2105,1,1428,0,0,0,0.38,1955,615000,-1
2106,51,752,624,624,0,0.1,1923,515000,-1
2107,7,1841,0,0,528,0.1,1972,357000,-1
2108,19,576,0,0,0,0.0,1974,177900,-1
2109,8,2296,750,0,462,0.28,1984,520000,-1
2110,1,1250,1250,0,400,0.21,1995,485000,-1
2111,8,1929,627,507,609,0.17,1999,530000,41
2112,8,2066,1000,900,724,0.18,2002,480600,40
2113,1,1032,1008,0,456,0.21,1977,370000,-1
2114,1,1001,858,758,247,0.18,1968,415000,-1
2115,7,1584,528,528,528,0.19,1974,485000,-1
2116,1,722,100,0,216,0.11,1931,285000,-1
2117,1,939,384,354,576,0.17,1904,579999,-1
2118,1,1092,1092,1092,364,0.14,1966,372000,-1
2119,14,910,0,0,0,0.0,1973,2000,-1
2120,1,1131,1075,1075,379,0.23,1961,456000,-1
2121,19,576,0,0,0,0.0,1974,165000,-1
2122,1,1079,0,0,264,0.11,1977,319000,-1
2123,8,2246,973,0,400,0.11,2005,470000,28
2124,8,1698,810,0,400,0.08,2002,445000,-1
2125,8,1753,792,192,420,0.09,2004,475000,22
2126,68,1386,594,0,480,0.03,2000,360000,-1
2127,19,840,0,0,0,0.0,1998,225000,-1
2128,68,1132,594,0,200,0.03,1996,310000,-1
2129,1,1513,1113,0,420,0.1,1997,340000,-1
2130,8,1735,916,916,484,0.18,1989,460000,39
2131,61,1270,0,0,440,0.0,1991,331000,-1
2132,1,1376,1368,0,440,0.16,1986,0,-1
2133,1,3340,3340,1892,1340,0.58,1992,705000,-1
2134,68,2177,0,0,400,0.08,2020,394950,40
2135,8,1934,0,0,693,0.1,2012,415000,-1
2136,68,2196,0,0,440,0.07,2018,648750,-1
2137,20,737,0,0,0,0.0,2019,518000,-1
2138,8,1776,0,0,504,0.08,2006,375000,-1
2139,68,1338,0,0,240,0.0,2004,282000,0
2140,19,918,0,0,0,0.0,1974,245000,-1
2141,8,1884,960,0,420,0.12,1999,415000,-1
2142,15,1323,0,0,0,0.0,2001,68000,-1
